X,Y,OBJECTID,PROPERTY_NAME,COURT_TYPE
-112.104433705914,33.5307928125072,3415,Washington Park,1
-112.104237149768,33.5307931103456,3416,Washington Park,1
-112.105473845259,33.5309701595009,3417,Washington Park,1
-112.105687461392,33.530955519364,3418,Washington Park,1
-112.10548730004,33.530607509762,3419,Washington Park,1
-112.10547178872,33.5313351777081,3420,Washington Park,1
-112.105283001899,33.5309776078911,3421,Washington Park,1
-112.10508357173,33.5309659821163,3422,Washington Park,1
-112.105292301021,33.5313247148017,3423,Washington Park,1
-112.105100025765,33.5313285862919,3424,Washington Park,1
-112.10547573259,33.5300037028492,3425,Washington Park,1
-112.105685391253,33.5313133799946,3426,Washington Park,1
-111.9563219145,33.4911220618203,3427,G. R. Herberger Park,2
-111.956173051826,33.4911332462115,3747,G. R. Herberger Park,2
-112.167394821127,33.7275028374266,4390,Deem Hills Park,2
-112.167713241387,33.727773556244,4391,Deem Hills Park,1
-112.132871919683,33.6953524566352,4392,Paseo Highlands Park,2
-112.132778462763,33.6953466177639,5027,Paseo Highlands Park,2
-112.132602773341,33.6954464081891,5029,Paseo Highlands Park,2
-112.167494340137,33.7274654022726,5030,Deem Hills Park,2
-112.132539949998,33.6952523555362,5347,Paseo Highlands Park,2
-112.132506526586,33.695415884636,5348,Paseo Highlands Park,2
-112.132643354027,33.6952855787576,5349,Paseo Highlands Park,2
